code	name	type	imageUrl
SPDi22-01[EN]	Umr	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-01[EN].jpg
SPDi22-02[EN]	At	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-02[EN].jpg
SPDi22-03[EN]	Tawil	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-03[EN].jpg
SPDi22-04[EN]	Rei	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-04[EN].jpg
SPDi22-05[EN]	Hirana	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-05[EN].jpg
SPDi22-06[EN]	Akino	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-06[EN].jpg
SPDi22-07[EN]	Wolf	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-07[EN].jpg
SPDi22-08[EN]	Lion	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-08[EN].jpg
SPDi22-09[EN]	Lovit	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-09[EN].jpg
SPDi22-10[EN]	Bang	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-10[EN].jpg
SPDi22-11[EN]	Tamago	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-11[EN].jpg
SPDi22-12[EN]	Nova	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-12[EN].jpg
SPDi22-13[EN]	Sanga	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-13[EN].jpg
SPDi22-14[EN]	Muzica	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-14[EN].jpg
SPDi22-15[EN]	Madoka	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-15[EN].jpg
SPDi22-16[EN]	Deus	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-16[EN].jpg
SPDi22-17[EN]	Ex	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-17[EN].jpg
SPDi22-18[EN]	Machina	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-18[EN].jpg
SPDi22-19[EN]	Yukayuka	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-19[EN].jpg
SPDi22-20[EN]	Mikomiko	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-20[EN].jpg
SPDi22-21[EN]	Mahomaho	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-21[EN].jpg
SPDi22-22[EN]	Tama	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-22[EN].jpg
SPDi22-23[EN]	Yuzuki	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-23[EN].jpg
SPDi22-24[EN]	Piruluk	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-24[EN].jpg
SPDi22-25[EN]	Urith	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-25[EN].jpg
SPDi22-26[EN]	Dona	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-26[EN].jpg
SPDi22-27[EN]	Ril	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-27[EN].jpg
SPDi22-28[EN]	Aya	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-28[EN].jpg
SPDi22-29[EN]	Eldora	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-29[EN].jpg
SPDi22-30[EN]	Ann	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-30[EN].jpg
SPDi22-31[EN]	Iona	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-31[EN].jpg
SPDi22-32[EN]	Carnival	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-32[EN].jpg
SPDi22-33[EN]	Layla	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-33[EN].jpg
SPDi22-34[EN]	Mel	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-34[EN].jpg
SPDi22-35[EN]	Mama	LRIG	https://www.takaratomy.co.jp/products/en.wixoss/card/thumb/SPDi22-35[EN].jpg
