code	name	type	imageUrl
WXDi-CP01-001[EN]	SELENE Girls' Academy, After School	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-001[EN].jpg
WXDi-CP01-001P[EN]	SELENE Girls' Academy, After School	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-001P[EN].jpg
WXDi-CP01-002[EN]	SELENE Girls' Academy, Moon Night	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-002[EN].jpg
WXDi-CP01-002P[EN]	SELENE Girls' Academy, Moon Night	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-002P[EN].jpg
WXDi-CP01-003[EN]	OBSYDIA SALVAGE	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-003[EN].jpg
WXDi-CP01-003P[EN]	OBSYDIA SALVAGE	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-003P[EN].jpg
WXDi-CP01-004[EN]	LazuLight FLASH	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-004[EN].jpg
WXDi-CP01-004P[EN]	LazuLight FLASH	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-004P[EN].jpg
WXDi-CP01-052[EN]	Super Helesta Saber	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-052[EN].jpg
WXDi-CP01-053[EN]	White Heaven	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-053[EN].jpg
WXDi-CP01-054[EN]	DEATH DECK	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-054[EN].jpg
WXDi-CP01-055[EN]	Zeno Cluster	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP01-055[EN].jpg
WXDi-CP02-001[EN]	Tea Party	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-001[EN].jpg
WXDi-CP02-001P[EN]	Tea Party	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-001P[EN].jpg
WXDi-CP02-002[EN]	Seminar	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-002[EN].jpg
WXDi-CP02-002P[EN]	Seminar	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-002P[EN].jpg
WXDi-CP02-003[EN]	Masked Swimsuit Gang	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-003[EN].jpg
WXDi-CP02-003P[EN]	Masked Swimsuit Gang	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-003P[EN].jpg
WXDi-CP02-004[EN]	Gehenna Prefect Team	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-004[EN].jpg
WXDi-CP02-004P[EN]	Gehenna Prefect Team	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-004P[EN].jpg
WXDi-CP02-005[EN]	General Student Council	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-005[EN].jpg
WXDi-CP02-005P[EN]	General Student Council	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-005P[EN].jpg
WXDi-CP02-006[EN]	Kronos School of Journalism	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-006[EN].jpg
WXDi-CP02-006P[EN]	Kronos School of Journalism	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-CP02-006P[EN].jpg
WXDi-D01-011[EN]	Harmonic Call	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-D01-011[EN].jpg
WXDi-D01-011D[EN]	Harmonic Call	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-D01-011D[EN].jpg
WXDi-D02-011[EN]	Samba Carnival	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-D02-011[EN].jpg
WXDi-D02-011D[EN]	Samba Carnival	PIECE	https://raw.githubusercontent.com/ShonTitor/WixossImportTool/main/pieces/WXDi-D02-011D[EN].jpg
